date,depth,variable,observation
2018-08-10,3,temperature,20.522988958333332
2018-08-10,4,temperature,15.103903611111111
2018-08-10,5,temperature,12.448257222222223
2018-08-10,6,temperature,11.908758541666666
2018-08-10,7,temperature,11.851871388888888
2018-08-10,8,temperature,11.838181597222222
2018-08-10,9,temperature,11.822749583333334
2018-08-10,1.6,temperature,27.04375
2018-08-11,0.1,temperature,27.639695486111112
2018-08-11,1,temperature,27.11410986111111
2018-08-11,2,temperature,24.88275652777778
2018-08-11,3,temperature,20.67673923611111
2018-08-11,4,temperature,15.049291736111112
2018-08-11,5,temperature,12.496382291666666
2018-08-11,6,temperature,11.981074027777778
2018-08-11,7,temperature,11.943219652777778
2018-08-11,8,temperature,11.929599375
2018-08-11,9,temperature,11.914406944444444
2018-08-11,1.6,temperature,27.31546527777778
2018-08-12,0.1,temperature,26.92461986111111
2018-08-12,1,temperature,26.82258826388889
2018-08-12,2,temperature,25.027730972222223
2018-08-12,3,temperature,20.700474444444446
2018-08-12,4,temperature,15.013100347222222
2018-08-12,5,temperature,12.54745173611111
2018-08-12,6,temperature,12.046734375
2018-08-12,7,temperature,12.022389930555555
2018-08-12,8,temperature,12.008767222222222
2018-08-12,9,temperature,11.993034375
2018-08-12,1.6,temperature,26.8920625
2018-08-13,0.1,temperature,26.67407534722222
2018-08-13,1,temperature,26.381652916666667
2018-08-13,2,temperature,25.44378298611111
2018-08-13,3,temperature,20.803629305555557
2018-08-13,4,temperature,15.042498194444445
2018-08-13,5,temperature,12.625734583333333
2018-08-13,6,temperature,12.097042847222221
2018-08-13,7,temperature,12.077583194444445
2018-08-13,8,temperature,12.061187083333333
2018-08-13,9,temperature,12.03759076388889
2018-08-13,1.6,temperature,26.553763888888888
2018-08-14,0.1,temperature,25.65368753846154
2018-08-14,1,temperature,25.618467538461537
2018-08-14,2,temperature,25.505019230769232
2018-08-14,3,temperature,20.823252153846155
2018-08-14,4,temperature,15.103220615384615
2018-08-14,5,temperature,12.61587876923077
2018-08-14,6,temperature,12.110811846153846
2018-08-14,7,temperature,12.079311538461539
2018-08-14,8,temperature,12.05323553846154
2018-08-14,9,temperature,11.974225846153846
2018-08-14,1.6,temperature,26.036
2018-08-15,0.1,temperature,NA
2018-08-15,1,temperature,NA
2018-08-15,2,temperature,NA
2018-08-15,3,temperature,NA
2018-08-15,4,temperature,NA
2018-08-15,5,temperature,NA
2018-08-15,6,temperature,NA
2018-08-15,7,temperature,NA
2018-08-15,8,temperature,NA
2018-08-15,9,temperature,NA
2018-08-15,1.6,temperature,25.98584027777778
2018-08-16,0.1,temperature,NA
2018-08-16,1,temperature,NA
2018-08-16,2,temperature,NA
2018-08-16,3,temperature,NA
2018-08-16,4,temperature,NA
2018-08-16,5,temperature,NA
2018-08-16,6,temperature,NA
2018-08-16,7,temperature,NA
2018-08-16,8,temperature,NA
2018-08-16,9,temperature,NA
2018-08-16,1.6,temperature,26.213930555555557
2018-08-17,0.1,temperature,NA
2018-08-17,1,temperature,NA
2018-08-17,2,temperature,NA
2018-08-17,3,temperature,NA
2018-08-17,4,temperature,NA
2018-08-17,5,temperature,NA
2018-08-17,6,temperature,NA
2018-08-17,7,temperature,NA
2018-08-17,8,temperature,NA
2018-08-17,9,temperature,NA
2018-08-17,1.6,temperature,26.747895833333335
2018-08-18,0.1,temperature,NA
2018-08-18,1,temperature,NA
2018-08-18,2,temperature,NA
2018-08-18,3,temperature,NA
2018-08-18,4,temperature,NA
2018-08-18,5,temperature,NA
2018-08-18,6,temperature,NA
2018-08-18,7,temperature,NA
2018-08-18,8,temperature,NA
2018-08-18,9,temperature,NA
2018-08-18,1.6,temperature,26.625944444444443
2018-08-19,0.1,temperature,NA
2018-08-19,1,temperature,NA
2018-08-19,2,temperature,NA
2018-08-19,3,temperature,NA
2018-08-19,4,temperature,NA
2018-08-19,5,temperature,NA
2018-08-19,6,temperature,NA
2018-08-19,7,temperature,NA
2018-08-19,8,temperature,NA
2018-08-19,9,temperature,NA
2018-08-19,1.6,temperature,25.992333333333335
2018-08-20,0.1,temperature,NA
2018-08-20,1,temperature,NA
2018-08-20,2,temperature,NA
2018-08-20,3,temperature,NA
2018-08-20,4,temperature,NA
2018-08-20,5,temperature,NA
2018-08-20,6,temperature,NA
2018-08-20,7,temperature,NA
2018-08-20,8,temperature,NA
2018-08-20,9,temperature,NA
2018-08-20,1.6,temperature,25.934724137931035
2018-08-21,0.1,temperature,NA
2018-08-21,1,temperature,NA
2018-08-21,2,temperature,NA
2018-08-21,3,temperature,NA
2018-08-21,4,temperature,NA
2018-08-21,5,temperature,NA
2018-08-21,6,temperature,NA
2018-08-21,7,temperature,NA
2018-08-21,8,temperature,NA
2018-08-21,9,temperature,NA
2018-08-21,1.6,temperature,NA
2018-08-22,0.1,temperature,NA
2018-08-22,1,temperature,NA
2018-08-22,2,temperature,NA
2018-08-22,3,temperature,NA
2018-08-22,4,temperature,NA
2018-08-22,5,temperature,NA
2018-08-22,6,temperature,NA
2018-08-22,7,temperature,NA
2018-08-22,8,temperature,NA
2018-08-22,9,temperature,NA
2018-08-22,1.6,temperature,NA
2018-08-23,0.1,temperature,NA
2018-08-23,1,temperature,NA
2018-08-23,2,temperature,NA
2018-08-23,3,temperature,NA
2018-08-23,4,temperature,NA
2018-08-23,5,temperature,NA
2018-08-23,6,temperature,NA
2018-08-23,7,temperature,NA
2018-08-23,8,temperature,NA
2018-08-23,9,temperature,NA
2018-08-23,1.6,temperature,NA
2018-08-24,0.1,temperature,24.820292133333332
2018-08-24,1,temperature,24.392219066666666
2018-08-24,2,temperature,23.8641412
2018-08-24,3,temperature,21.894353466666665
2018-08-24,4,temperature,16.0072568
2018-08-24,5,temperature,12.829697333333334
2018-08-24,6,temperature,12.170706266666667
2018-08-24,7,temperature,12.055303466666667
2018-08-24,8,temperature,11.917700666666667
2018-08-24,9,temperature,11.9108576
2018-08-24,1.6,temperature,NA
2018-08-25,0.1,temperature,24.451399090909092
2018-08-25,1,temperature,24.00728718181818
2018-08-25,2,temperature,23.737246363636363
2018-08-25,3,temperature,21.920334272727274
2018-08-25,4,temperature,15.926484181818182
2018-08-25,5,temperature,12.884231636363637
2018-08-25,6,temperature,12.170205727272727
2018-08-25,7,temperature,12.04923290909091
2018-08-25,8,temperature,11.915258909090909
